,mean_residual,l2_relative_error,mse,method,ratio,seed,n_iterations,num_domain,num_boundary,num_initial,n_candidate_points,hard_constrained,model_version,influence_sign
6705,0.022553932000000002,0.12266037688292815,0.005678356582689156,IF,0.03,9,10000,2540,80,160,10000,False,train,abs
6706,0.022553932000000002,0.12266037688292815,0.005678356582689156,IF,0.03,9,10000,2540,80,160,10000,False,test,abs
6707,0.024113908,0.11119017268822123,0.004666023065471435,IF,0.03,9,10000,2540,80,160,10000,False,10k,abs
6708,0.01200286,0.018213306218846585,0.0001251963451340493,IF,0.05,8,50000,2540,80,160,10000,True,train,abs
6709,0.01200286,0.018213306218846585,0.0001251963451340493,IF,0.05,8,50000,2540,80,160,10000,True,test,abs
6710,0.01392427,0.01580398844798399,9.426435038391535e-05,IF,0.05,8,50000,2540,80,160,10000,True,10k,abs
6711,0.022392092000000002,0.027532673930196386,0.0002860953866234622,IF,0.06,3,10000,2540,80,160,10000,True,train,abs
6712,0.022392092000000002,0.027532673930196386,0.0002860953866234622,IF,0.06,3,10000,2540,80,160,10000,True,test,abs
6713,0.022392092000000002,0.027532673930196386,0.0002860953866234622,IF,0.06,3,10000,2540,80,160,10000,True,10k,abs
6714,0.02554708,0.01664118143266342,0.00010451590440938926,RAR,0.02,9,10000,2540,80,160,10000,True,train,abs
6715,0.026542861,0.018338299122028744,0.00012692061755997786,RAR,0.02,9,10000,2540,80,160,10000,True,test,abs
6716,0.02554708,0.01664118143266342,0.00010451590440938926,RAR,0.02,9,10000,2540,80,160,10000,True,10k,abs
6717,0.011900805,0.01843831624509722,0.00012830884360366538,IF,0.04,8,50000,2540,80,160,10000,True,train,abs
6718,0.011900805,0.01843831624509722,0.00012830884360366538,IF,0.04,8,50000,2540,80,160,10000,True,test,abs
